Hotel Name,Room Type,Single Bed,Double Bed,Price
Asiana Grand Hotel,Superior Deluxe – Beach transfer & Free Shuttle to Deira city center mall,No,Yes,"₹ 9,560"
Atana Hotel,Standard King Room,No,Yes,"₹ 8,577"
Novotel Deira City Centre,Standard Twin Room,Yes,No,"₹ 10,090"
City Stay Grand Hotel Apartments - Al Barsha,Deluxe Double Room,No,Yes,"₹ 4,987"
Four Points by Sheraton Bur Dubai,Classic Twin Room with complimentary shuttle service to Dubai Mall & La Mer Beach,Yes,No,"₹ 12,033"
Millennium Airport Hotel Dubai,Deluxe King Room,No,Yes,"₹ 11,626"
JA Ocean View Hotel,Double or Twin Room with Sea View,No,Yes,"₹ 24,461"
Grand Marino Hotel,Deluxe Double Room,No,Yes,"₹ 5,718"
Wescott Hotel,Superior Twin Room,Yes,No,"₹ 5,231"
"Holiday Inn Dubai Al Barsha, an IHG Hotel",Standard Room,Yes,Yes,"₹ 9,475"
San Marino Hotel,Standard Double Room,No,Yes,"₹ 6,795"
"Hotel Indigo Dubai Downtown, an IHG Hotel",1 King Bed Standard Downtown View w complimentary transfer to Kite Beach & Dubai Mall,No,Yes,"₹ 18,346"
City Avenue Hotel,Standard Double or Twin Room,No,No,"₹ 5,441"
Saeed Hotel,Standard Double Room,No,Yes,"₹ 4,482"
TIME Asma Hotel,"Deluxe King Room - Inclusive of 20% Discount on F&B, Laundry and SPA",No,Yes,"₹ 7,563"
Three 888 Hotel,Standard Double Room,No,Yes,"₹ 5,013"
Phoenix Hotel,Superior Deluxe Double or Twin Room,No,No,"₹ 5,047"
"The Apartments, Dubai World Trade Centre Hotel Apartments",Superior Double Room,No,Yes,"₹ 16,201"
Anantara Downtown Dubai,Premier City View Room,No,Yes,"₹ 20,384"
Centro Barsha - by Rotana,Centro Room – Queen Bed,No,Yes,"₹ 6,652"
"Zabeel House by Jumeirah, The Greens",Popular Room (Late Check-Out at 2pm),No,Yes,"₹ 16,987"
Swissôtel Al Ghurair Dubai,Classic Twin Room,Yes,No,"₹ 11,359"
Majestic City Retreat Hotel,Economy Double Non-smoking,Yes,No,"₹ 7,361"
SLS Dubai Hotel & Residences,Signature King Room With balcony,No,Yes,"₹ 23,952"
Cozy 2BR Delux Apartment in Dubai Marina,Apartment with Balcony,No,Yes,"₹ 16,105"
Gevora Hotel,Deluxe Room,No,Yes,"₹ 10,729"
Golden Sands Hotel Apartments,Deluxe Studio - Golden Sands 5,Yes,Yes,"₹ 10,321"
