Hotel Name,Free WiFi,Family rooms,Non-smoking rooms,Restaurant,Bar,Heating,Lift,Breakfast Cuisine 1,Breakfast Cuisine 2,Breakfast Cuisine 3
"100 Queen’s Gate Hotel London, Curio Collection by Hilton",no,no,yes,no,yes,no,no,Continental,Full English/Irish,Vegetarian
The Chilworth London Paddington,no,no,yes,no,no,yes,no,Full English/Irish,Vegetarian,Vegan
Hilton London Olympia,no,no,no,no,yes,no,yes,Full English/Irish,Vegetarian,
Signature Townhouse London Hyde Park,no,yes,no,no,no,yes,no,Full English/Irish,Buffet,
The Sanctuary House Hotel,yes,no,yes,yes,yes,yes,no,Full English/Irish,Vegetarian,
"Holiday Inn Express Southwark, an IHG Hotel",no,yes,no,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
"Radisson Blu Edwardian New Providence Wharf Hotel, London",no,no,no,no,no,no,no,Full English/Irish,,
"Holiday Inn Express London-Hammersmith, an IHG Hotel",yes,yes,no,no,yes,yes,no,Continental,,
"Maldron Hotel Finsbury Park, London",yes,yes,no,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
Park Avenue J Hotel London Hyde Park,no,yes,yes,no,no,yes,no,Full English/Irish,Buffet,
Zedwell Piccadilly Circus,yes,yes,no,no,no,yes,yes,,,
President Hotel,yes,no,yes,yes,yes,no,no,Full English/Irish,,
Park Avenue Bayswater Inn Hyde Park,yes,yes,no,yes,no,yes,yes,Full English/Irish,,
Strathmore Hotel,no,yes,no,no,yes,yes,no,Continental,Full English/Irish,
"Inhabit, Southwick Street",no,no,no,no,no,yes,no,Vegetarian,Vegan,Gluten-free
"Holiday Inn Express London - Wandsworth, an IHG Hotel",no,yes,yes,no,yes,yes,no,Continental,Vegetarian,Vegan
DoubleTree by Hilton London Victoria,no,yes,no,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
Hilton London Kensington Hotel,no,no,no,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
Marlin Waterloo,yes,yes,no,no,no,yes,no,Continental,,
Royal Park Hotel,yes,yes,yes,no,no,yes,no,,,
"Queensway Hotel, Sure Hotel Collection by Best Western",yes,yes,yes,no,no,yes,yes,Continental,,
The Beaufort,yes,yes,no,no,no,yes,no,Continental,Vegetarian,Vegan
The Beaufort,yes,yes,no,no,no,yes,no,Continental,Vegetarian,Vegan
"The Tower Hotel, London",no,no,no,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
"Crowne Plaza London Kings Cross, an IHG Hotel",no,yes,no,yes,no,yes,no,Full English/Irish,,
citizenM London Shoreditch,yes,no,no,no,yes,yes,no,Vegetarian,Vegan,
ibis Styles London Gloucester Road,no,yes,no,no,yes,yes,no,Continental,,
"The Westminster London, Curio Collection by Hilton",no,no,no,no,no,yes,no,Continental,Full English/Irish,Vegetarian
Park Grand London Hyde Park,no,yes,no,no,yes,yes,yes,Continental,Full English/Irish,Vegetarian
Hyatt Regency London Stratford,no,no,no,yes,yes,no,no,Continental,Full English/Irish,Vegetarian
ibis London Earls Court,no,no,yes,no,yes,yes,yes,Full English/Irish,Halal,
The Z Hotel Trafalgar,yes,no,no,no,yes,yes,yes,,,
Park International Hotel,yes,no,no,no,no,yes,yes,Continental,Full English/Irish,
Days Inn Hyde Park,yes,yes,no,no,no,yes,yes,Continental,Vegetarian,Vegan
Dorsett Shepherds Bush London,no,no,no,no,yes,yes,no,Full English/Irish,,
Hampton By Hilton London City,yes,yes,no,no,no,yes,no,Continental,Full English/Irish,Vegetarian
DoubleTree by Hilton London Chelsea,no,yes,no,no,yes,yes,no,Continental,Full English/Irish,
Mercure London Bloomsbury Hotel,yes,no,yes,no,no,yes,yes,Continental,Full English/Irish,
DoubleTree by Hilton London - Hyde Park,no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
citizenM London Victoria Station,yes,no,no,no,yes,yes,no,Vegetarian,Vegan,Gluten-free
ibis London City - Shoreditch,no,yes,no,yes,yes,yes,no,Continental,Full English/Irish,Vegetarian
Clayton Hotel City of London,no,no,no,yes,yes,yes,yes,Full English/Irish,Vegetarian,Vegan
Langham Court Hotel,no,yes,no,yes,yes,yes,no,Continental,Full English/Irish,Buffet
Pestana Chelsea Bridge Hotel,no,yes,no,no,no,yes,no,Continental,Full English/Irish,Vegetarian
Sidney Hotel London-Victoria,yes,yes,no,no,yes,yes,yes,,,
The Z Hotel Gloucester Place,yes,no,no,no,no,yes,no,,,
Leonardo Royal London St Paul’s,no,no,no,no,yes,no,no,Full English/Irish,Buffet,
The Barbican Rooms,no,no,no,no,no,yes,no,Full English/Irish,,
DoubleTree By Hilton London Excel,no,no,no,no,yes,no,no,Full English/Irish,Vegetarian,Gluten-free
Millennium Gloucester Hotel London,no,yes,yes,no,no,yes,no,Continental,Full English/Irish,Gluten-free
DoubleTree by Hilton London – West End,no,yes,no,no,yes,yes,yes,Continental,Full English/Irish,Vegetarian
Copthorne Tara Hotel London Kensington,no,yes,no,no,no,no,yes,Continental,Full English/Irish,Vegetarian
Novotel London West,no,yes,yes,no,yes,no,no,Continental,Full English/Irish,Vegetarian
Victory House Leicester Square,yes,no,no,no,yes,yes,no,Continental,,
Park Plaza London Riverbank,no,no,no,no,no,no,no,Buffet,,
Hotel Saint London,no,no,no,yes,no,yes,yes,Continental,Full English/Irish,Vegetarian
Regency Hotel Parkside,yes,yes,no,no,no,yes,no,Continental,,
"Signature London, The J Marylebone",yes,yes,yes,yes,yes,no,no,Full English/Irish,Buffet,
"Radisson Blu Edwardian Vanderbilt Hotel, London",no,no,no,yes,yes,yes,yes,Full English/Irish,,
Queens Park Premier London Hyde Park,yes,no,yes,no,no,no,no,,,
Ambassadors Bloomsbury,no,no,no,no,yes,yes,yes,Continental,Full English/Irish,Vegetarian
The Montcalm At Brewery London City,no,no,no,no,yes,yes,no,Full English/Irish,,
London Marriott Maida Vale,no,yes,no,yes,no,no,no,Continental,Full English/Irish,
DoubleTree by Hilton London Angel Kings Cross,no,yes,no,no,yes,no,no,Full English/Irish,Vegetarian,
Parkwood Hotel,yes,yes,no,no,no,yes,no,Full English/Irish,,
"Holiday Inn Express London - ExCel, an IHG Hotel",no,yes,yes,no,no,no,no,Continental,,
Zedwell Greenwich,yes,no,no,no,no,yes,yes,,,
Zedwell Underground Tottenham Court Rd,yes,yes,yes,no,no,no,no,,,
ibis London Shepherds Bush - Hammersmith,yes,no,no,yes,yes,yes,no,Continental,Full English/Irish,Gluten-free
"Holiday Inn London - Regent's Park, an IHG Hotel",no,no,no,no,yes,no,no,Continental,Full English/Irish,Vegetarian
Courtyard by Marriott London City Airport,no,no,no,yes,yes,no,no,Continental,Italian,Full English/Irish
The Omega Hotel,yes,yes,yes,no,no,yes,no,Continental,Vegetarian,Vegan
The J Hyde Park - A Park Avenue Hotel,yes,no,yes,no,no,yes,no,,,
Millennium & Copthorne Hotels at Chelsea Football Club,no,yes,no,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
"Holiday Inn London Kensington High St., an IHG Hotel",no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
Park Grand Paddington Court,no,no,no,no,no,yes,yes,Continental,Full English/Irish,Vegetarian
London House Hotel,yes,yes,no,no,no,yes,yes,Continental,,
The Z Hotel Victoria,yes,no,no,no,no,yes,yes,,,
The Judd Hotel,yes,yes,yes,no,no,yes,no,Full English/Irish,,
"Inhabit, Queen's Gardens",no,no,no,no,no,yes,no,Vegetarian,Vegan,Gluten-free
Seraphine Hammersmith Hotel,yes,yes,no,no,no,yes,yes,Continental,,
TiTiwangsa One Accomodation at Paddington,yes,no,yes,no,no,no,no,,,
Aloft London Excel,no,no,no,no,no,no,no,Continental,Full English/Irish,
Americana Hotel,yes,no,no,no,no,yes,yes,Continental,,
Doubletree By Hilton London - Greenwich,no,yes,no,no,yes,no,no,Continental,Full English/Irish,
1 Hotel Mayfair,no,yes,no,no,yes,yes,no,Continental,Full English/Irish,
Hilton London Angel Islington,no,yes,no,no,yes,no,no,Full English/Irish,,
The Goodenough Hotel London,yes,yes,no,no,no,yes,no,Continental,Full English/Irish,
TRIBE London Canary Wharf,no,no,no,yes,yes,yes,yes,Continental,Full English/Irish,Vegetarian
